subject,mean_x_up,mean_x_down,mean_y_up,mean_y_down
203,938.4258444444445,939.9649118055557,409.1318694444446,410.8777750000001
205,915.5828416666668,917.8875840277778,484.1123166666665,497.43080694444444
206,979.1916326388889,977.4650020833332,468.600011111111,457.0384583333333
213,946.2359875000002,945.5910840277779,525.2052124999998,527.4770027777778
218,944.7910361111109,945.6611229166665,465.4023680555555,467.6093152777777
220,950.4397493055557,944.3275138888889,441.3684847222223,449.0306666666666
222,952.3106090277781,950.4760680555555,331.95571527777776,341.0102881944446
223,932.7984770833332,946.4506736111113,421.22466388888876,430.3389555555555
226,973.9042013888884,968.8352013888887,533.801376388889,529.6124229166668
229,944.3123833333336,956.0599541666666,510.81807777777794,513.3528465277776
230,952.7372977941176,939.1905898550724,479.12322720588236,494.80923768115946
233,984.9219477941175,962.273141304348,517.8850639705882,492.9429724637681
239,948.534403472222,949.5714368055555,471.76730763888895,471.6751722222221
240,1013.9874014285715,972.5928355072464,506.38250214285716,512.7961420289855
241,919.834445,939.0247542857145,420.1678107142857,407.08079571428567
242,939.185886111111,938.6677312500001,383.3109784722222,395.3587020833334
245,946.2989118055557,935.5135215277777,492.7945784722225,493.4672680555556
246,930.5595659722223,932.8577465277779,473.7970194444445,480.140615972222
247,941.1262395833334,958.344622222222,460.9319326388889,453.56542013888907
248,963.1235965277772,944.4613048611116,395.51580972222223,386.3960694444442
252,911.9046152777778,911.6530868055556,464.2004555555556,463.87264305555556
253,904.4454395833338,907.3386222222222,453.20614097222216,457.2422513888888
254,953.2651423611112,949.0597999999997,534.5953770833333,548.5032111111113
256,977.036179861111,976.8296541666665,476.38251458333343,476.4431743055558
259,933.8237725352113,937.2637013888889,452.4040781690142,455.3035749999999
260,964.5245666666665,958.1485048611108,460.4899298611111,475.45711249999994
261,925.3488368055558,924.3489576388888,420.9947319444445,421.85867916666666
262,967.51909375,966.6761076388889,503.59421597222223,504.4085430555554
263,921.9807319444444,922.4872895833333,451.08279375000006,458.34537083333333
264,972.3430611111112,972.4370305555557,477.86027916666666,473.24238541666665
