,10-Left-Thalamus-Proper,1000-ctx-lh-unknown,1002-ctx-lh-caudalanteriorcingulate,1003-ctx-lh-caudalmiddlefrontal,1005-ctx-lh-cuneus,1006-ctx-lh-entorhinal,1007-ctx-lh-fusiform,1008-ctx-lh-inferiorparietal,1009-ctx-lh-inferiortemporal,1010-ctx-lh-isthmuscingulate,1011-ctx-lh-lateraloccipital,1012-ctx-lh-lateralorbitofrontal,1013-ctx-lh-lingual,1014-ctx-lh-medialorbitofrontal,1015-ctx-lh-middletemporal,1016-ctx-lh-parahippocampal,1017-ctx-lh-paracentral,1018-ctx-lh-parsopercularis,1019-ctx-lh-parsorbitalis,1020-ctx-lh-parstriangularis,1021-ctx-lh-pericalcarine,1022-ctx-lh-postcentral,1023-ctx-lh-posteriorcingulate,1024-ctx-lh-precentral,1025-ctx-lh-precuneus,1026-ctx-lh-rostralanteriorcingulate,1027-ctx-lh-rostralmiddlefrontal,1028-ctx-lh-superiorfrontal,1029-ctx-lh-superiorparietal,1030-ctx-lh-superiortemporal,1031-ctx-lh-supramarginal,1034-ctx-lh-transversetemporal,1035-ctx-lh-insula,11-Left-Caudate,12-Left-Putamen,13-Left-Pallidum,14-3rd-Ventricle,15-4th-Ventricle,16-Brain-Stem,17-Left-Hippocampus,18-Left-Amygdala,2-Left-Cerebral-White-Matter,2000-ctx-rh-unknown,2002-ctx-rh-caudalanteriorcingulate,2003-ctx-rh-caudalmiddlefrontal,2005-ctx-rh-cuneus,2006-ctx-rh-entorhinal,2007-ctx-rh-fusiform,2008-ctx-rh-inferiorparietal,2009-ctx-rh-inferiortemporal,2010-ctx-rh-isthmuscingulate,2011-ctx-rh-lateraloccipital,2012-ctx-rh-lateralorbitofrontal,2013-ctx-rh-lingual,2014-ctx-rh-medialorbitofrontal,2015-ctx-rh-middletemporal,2016-ctx-rh-parahippocampal,2017-ctx-rh-paracentral,2018-ctx-rh-parsopercularis,2019-ctx-rh-parsorbitalis,2020-ctx-rh-parstriangularis,2021-ctx-rh-pericalcarine,2022-ctx-rh-postcentral,2023-ctx-rh-posteriorcingulate,2024-ctx-rh-precentral,2025-ctx-rh-precuneus,2026-ctx-rh-rostralanteriorcingulate,2027-ctx-rh-rostralmiddlefrontal,2028-ctx-rh-superiorfrontal,2029-ctx-rh-superiorparietal,2030-ctx-rh-superiortemporal,2031-ctx-rh-supramarginal,2034-ctx-rh-transversetemporal,2035-ctx-rh-insula,24-CSF,251-CC_Posterior,252-CC_Mid_Posterior,253-CC_Central,254-CC_Mid_Anterior,255-CC_Anterior,26-Left-Accumbens-area,28-Left-VentralDC,3-Left-Cerebral-Cortex,30-Left-vessel,31-Left-choroid-plexus,4-Left-Lateral-Ventricle,41-Right-Cerebral-White-Matter,42-Right-Cerebral-Cortex,43-Right-Lateral-Ventricle,44-Right-Inf-Lat-Vent,46-Right-Cerebellum-White-Matter,47-Right-Cerebellum-Cortex,49-Right-Thalamus-Proper,5-Left-Inf-Lat-Vent,50-Right-Caudate,51-Right-Putamen,52-Right-Pallidum,53-Right-Hippocampus,54-Right-Amygdala,58-Right-Accumbens-area,60-Right-VentralDC,62-Right-vessel,63-Right-choroid-plexus,7-Left-Cerebellum-White-Matter,72-5th-Ventricle,77-WM-hypointensities,8-Left-Cerebellum-Cortex,85-Optic-Chiasm
sub-132,-0.4957870982548214,0.14143621607000656,-0.3539847024687396,-0.24428606949899034,-0.4064643982115139,0.14950858841124742,-0.8223490411456157,-0.2216787554547897,-0.5442879189203592,0.02289840831369891,-0.5276220540904286,0.2932243844187815,0.11629212704848595,0.6551819510229123,-0.670039289897088,0.016091671310319442,-0.2739204502245146,-0.3763969853736635,-0.12395027872885483,-0.929834179378486,-0.4281754453225639,-0.31500751760999596,-0.3366138800364753,-0.5074512900633046,-0.5944724556205141,0.1704580509309111,-0.27563334654372246,-0.055456747112228685,-0.10845649856391029,-0.6562687324872007,-0.4810808702820535,-0.30280703535802944,-0.5861073908808813,-0.3166041357369154,-0.21159966075616254,0.03978943398805545,0.0990833393476977,-0.1293828719861257,-0.010279933919093702,-0.09735576351203222,0.2837781220632255,-0.34418623928562764,-0.13919845895930988,-0.26245669261911364,-0.13943344528313967,-0.42558424016591123,0.14595936642738205,-0.8066215339068494,-0.2260414821841334,-0.7335894111107273,-0.022958876227068846,-0.6773549636615444,0.21713234051297237,-0.3876256602465711,-0.2052069295312801,-0.5367101749397135,-0.4899513082776601,-0.16888093503613724,0.13227359790339394,0.09486025056243123,-0.5765750303286012,-0.59932443766043,-0.40724002272993576,0.1439769968578422,-0.014373643986000717,-0.5189765007776965,0.3792309903527687,-0.5232964176184269,0.1461542466747828,-0.5911606559493118,-0.0678562252802817,-0.48439173553788817,-0.4293133618442442,-0.335250299396993,-0.6218055907082397,0.00496392742404617,-0.13572355249294088,-0.5069761401618805,-0.5726799779214107,0.06800978458302967,0.21346583014464113,-0.13239894964429216,nan,nan,0.11477750574608725,-0.4083636158347595,-0.6137990709378537,nan,-0.2824858176567779,0.47466257815929486,-0.08781177629277623,-0.7916168030710795,-0.37588519855982455,nan,-0.07600289569955702,-0.3947533483764774,-0.2633509322657264,0.08158385936661,0.022616250504180858,-0.07015149654402723,0.10182265581829443,nan,0.11007054569277042,-0.035719266660133524,,-0.13563620676150528,-0.5126199671710565,nan
sub-133,-0.3920415003041181,-0.13072285106058168,-0.5893995780173166,-0.5091192558980306,0.03175639031128294,-0.16941325882329625,0.4629251561151058,-0.4766922370648683,-0.3420201334674242,-0.3584142863994628,0.19129088552548595,-0.8794636208431574,0.8084172580526607,-0.4906945387219507,-0.42046544006066366,-0.5080290687033613,-0.2347401934740556,-0.629756852555303,-0.447766047574331,-0.8413797685451216,0.356011076467142,-0.014377660518280384,-0.6381976051298337,-0.269165526776981,-0.5027041439838075,-0.516449388824034,-0.8593031728984466,-0.9457103257506918,-0.2931716871559025,-0.36483115929846555,-0.3588324569638036,0.0952696586939733,-0.43721556090526814,-0.4600281363576171,-0.0750467140929584,-0.005315681801742455,-0.190593669609448,-0.22008753007265802,-0.14413716296310514,-0.3968551796482067,-0.18191996370205535,-0.09716541877198889,0.08621086047927937,-0.6787306719562294,-0.3543384296352199,-0.6587535707356086,-0.27203466205000754,0.3466513497053735,-0.22649786994350424,-0.020401887615334638,-0.5905677669650263,-0.03212565855448412,-0.4207724959696998,0.44256914383837825,-0.6180520947313897,-0.06656313299947919,-0.21916860903490337,-0.23503705948575454,-0.0016101208638622643,-0.17741896253936718,-0.44514012966655253,-0.2786767346510996,-0.2817124817492711,-0.7280861434111938,-0.40240570491221866,-0.5845638871908982,-0.5387380936879617,-0.44801471344935856,-0.8170266634698595,-0.10268191595727755,-0.23794384841917693,-0.03884451028781179,-0.17759308434440843,-0.5026405445780063,0.23037222795027856,0.0192983333068623,0.2595320960153836,-0.15190465031102415,-0.20251966396799118,-0.2055565179806013,-0.061602920544338094,-0.20963668682153028,,,nan,-0.17917600050219692,-0.2475699005798282,,-0.4831225382786653,0.08475466327328576,-0.19031867272640374,-0.09527822543595746,-0.24649647404706115,nan,-0.33236757540907397,0.029661673104054046,-0.031001780136851086,-0.490634615740488,-0.5341675563557932,0.038378958539803,-0.49140012848690084,nan,nan,-0.08182052719070462,,-0.6491310784362896,0.14577517862022615,nan
sub-134,-0.1751931848449319,nan,-0.09724964016538443,0.39259504599895156,-0.39799755356812216,0.2886068552593669,-0.5376031187814777,-0.46256206201777567,-0.9036545058611869,0.1546732070745672,0.032868379358331395,0.36825220576374673,-0.33112074066002395,0.39064317969269724,0.04883562761297762,0.006408479426916931,-0.10078902157827443,0.39390684296098655,0.5215587235232219,0.24251514842468083,0.08070146380590895,-0.11573984526498815,0.15302932880678058,0.24840867250666426,0.46868336095185037,0.6460064851733779,0.34995224152442916,0.5307964999627226,-0.2786474801365619,-0.04524480398801485,0.1315330468586944,0.014773535152340058,0.020144436817047636,-0.21561315371298276,-0.15647672721712455,-0.31764645763019805,-0.31127847804958386,0.02916921739191907,0.24424709673809844,0.2818985605352953,-0.11632087325553217,-0.035612503563806915,nan,0.17630303417423324,0.3056430195159411,-0.07130980050425456,0.3031425709949167,-0.7436040627363294,-0.43790605431580437,-0.7514706313539539,0.4026217858476553,-0.16520631592597657,0.21450979047893065,-0.7143432788828327,0.18082236719212963,-0.3242747765429791,-0.1360105240134576,0.15821002213079358,0.20314572239418227,-0.06047867470628992,0.1639107199796651,0.2505624493666203,0.0021260902427941678,0.17533250303189782,0.45392199940770983,0.3915918775796273,0.3653299151554318,0.8368886929122099,0.7614869470716987,-0.43355816175218903,0.1374851792764837,-0.32782310170793605,-0.14539181366121887,-0.03856317845663577,-0.10112996770342497,0.5332814604862017,0.4246503339142283,-0.31897142821850355,0.09175831075122251,0.18005148780964586,0.12704780636903312,0.18121306278215477,,nan,-0.20764420432096764,-0.03826455994197101,-0.01330117030066451,,-0.009687605304224982,0.2630764162121546,-0.0971687542593762,-0.8902473169740681,-0.2196083872240775,nan,-0.13324120439788706,-0.008383804946425462,0.2325201242248231,0.0688864301810937,0.3491419894864638,-0.26349870812919785,-0.11849288795933129,nan,-0.2249445087830938,0.08399017923128553,,0.0983579633079287,-0.06669131378400688,
sub-136,-0.07856897068794873,0.004239906522962867,0.4032788272496634,0.1908478896167483,0.26579288170231735,-0.12869318110084205,-1.067883890824489,-0.12464979193844428,-0.09057489908538187,-0.18918069733840753,0.2330736435056856,0.46391168625855145,-0.28020573858543907,-0.1483196887843705,-0.08688858315241774,-0.10581506608529545,-0.12024149945371669,0.2779272268522304,-0.23626292067113863,0.31956204574854674,-0.4481547702551054,0.293941647648188,0.19196489227672323,0.32014126178054353,-0.195539292432239,-0.38019329262156987,0.23440581568005503,0.1585071904196325,0.3390830666364193,0.019980493717229587,0.3190673253111108,-0.03430176739443377,0.15564044597475077,-0.12170749835221235,0.16879412537296382,0.3032114283028796,-0.15913439020098924,-0.09026983332657795,-0.14241336233292798,-0.034759449466991665,0.18621702648709482,0.3273236650104848,-0.2839721506709813,0.20003703285724145,0.1359282797699377,0.45771265698537617,-0.21108310153951468,-0.34990795515717305,-0.09744492569834362,-0.30500945336562424,0.10253499567089769,0.4098218634341202,-0.01586313107145207,-0.11425004001199542,0.07050450216978531,0.23292969666443894,0.26569425474633146,-0.0042760506439110234,0.39913368664076465,0.163268040775896,0.38155388375099675,0.07299422988331433,0.19126156699477873,-0.1690519301537603,0.41644581381851553,0.14299634573624148,-0.2783105968248925,0.4523300280584076,0.12591326202642772,0.07522377185911942,0.04379865197022658,0.36623575129830915,0.050156609185349074,0.20008648924118203,-0.18747320374893228,-0.025690437341294413,0.011463488341250432,-0.13044250333948665,-0.2702275116849142,-0.05656352653172954,0.15045892020172108,-0.14287194701694486,,nan,0.051798147972807594,-0.3100185508435195,0.4940406704376123,,0.30214122637658714,0.03326016796366226,0.06667213062160897,0.11434953771073388,-0.30035840856059337,nan,-0.031112026626425815,0.1247886077861747,-0.04888224894905311,-0.10770225043240837,-0.0040933424868308714,0.08477979846292652,0.103461057044421,nan,nan,0.1060713936386914,,0.08061954049713697,-0.6877561627413517,0.05955601895583499
sub-137,0.2518906095899432,0.1057678474959578,-0.4286133424816412,-0.49291651612360937,-0.038759238559532234,0.21153824225042236,0.10617280846340968,-0.8518749103915114,-0.2390959649791024,0.15662663459893944,-0.1367551903487893,-0.13344275497158958,-0.1261471433606489,0.04044262245971954,-0.3896968003631265,-0.4427001252440926,0.245308555156865,-0.43926141143134645,-0.6143430888583179,-0.6256227203089515,-0.7627091760562025,0.362780225260791,0.11594979611806377,0.20208091867659744,-0.3032674488386893,-0.2870772374704224,-0.2897119029343513,-0.39859409865939055,-0.7419874252869979,-0.1289938009156451,-0.5131278542736374,0.048600465816725114,-0.3299570229282683,-0.5413667941489706,-0.0808689021690975,0.08389074548753088,-0.2955833390601321,0.049224639484305416,0.013032799221505477,-0.14929638555848668,0.5329161786705656,-0.636551150262845,-0.2855901675760459,-0.38008907573263784,-0.22100436626781236,0.6670684527740804,0.3411140659608602,0.31277262851644055,-0.23876864827877117,-0.03335718593845202,-0.011477042565722755,-0.38866549017003194,0.03724735513643373,-0.05355002810685157,-0.03262172705859169,-0.18972629992508444,0.007444838184166703,-0.07102873709563864,0.010810745088897225,-0.466998582105744,-0.2525745716564952,-0.9158198119134027,0.14693364768951567,-0.4226222755061243,-0.020945765744747588,-0.03309138286593401,-0.3538318462151989,-0.08492689704829337,-0.3540962151064315,-0.07499657264181224,-0.32092237802477863,-0.23747747868125513,-0.18238416875960325,-0.49332581555941935,0.280778671995277,-0.011322452938599244,0.022062799123359178,-0.11547836472251029,-0.7373178892501722,-0.37961070374153816,-0.13398986064827487,-0.17645892526238305,,,nan,-0.12897908598006336,-0.3811202941537897,,-0.31527286514168373,0.34350368854805713,0.09424779279624226,-0.20616490037581064,0.155344463015638,0.002784046324376288,-0.35347178760236686,-0.05312227821144527,-0.0677358357182525,0.003832874786981022,-0.006108118137209469,0.03978248568383613,-0.006508842545200245,nan,-0.004543863992825803,-0.1983794195385293,,-0.30980044855929467,-0.36246015822555255,nan
sub-138,0.7426675984002884,nan,0.5557418686865323,0.7924237308185501,0.3289360793193325,-0.02271165479065021,0.02069676767621916,0.7225238336224334,0.24260891319067276,0.038273556701639316,0.0750914218632142,0.07454258940666926,0.11254731073176202,0.28571732811774153,0.48663557978706495,0.054455021297260826,0.2214858943182341,0.8619135591300523,0.15449825946761908,0.7277817698261503,0.4965398064828636,-0.17802946265267677,0.13833801831980236,0.3032971657327672,0.47130929910306746,0.09794571945466601,0.5104730280319579,0.5836876949054302,0.6171071548630582,0.3477156100767067,0.547682516551916,-0.11634593855673118,0.5911220650199791,0.7915409686712963,0.12389735536342845,0.018985487837773173,0.07257928742416322,0.11885254155134158,0.09228767909891919,-0.21705584503610043,-0.012982212887468852,0.7152198795369216,nan,0.5313695563433035,0.9996527567296283,0.4139793773281532,-0.39623040398554116,0.1269646892747478,0.9861785613448781,0.5080996647249629,0.5368290861222299,-0.05275673962771234,-0.1773213203358469,-0.10472341205379083,0.1550540689047554,0.28831501237576557,-0.27194910234476916,0.27498168858645233,0.9911699119324346,0.3687288042511231,0.7644452621285193,0.43209235092789067,0.10947582982700492,0.45889884070621145,0.23992958330049463,0.8548998618236263,-0.4049126826649557,0.65418009573284,0.7664255221537605,0.6298315013985307,0.1048869833896382,0.6217026352338416,-0.6522374065607061,0.44580567927887155,0.2507676212143647,-0.19120039082415785,0.21327222805818122,0.01040820847405201,0.17809438144990808,-0.2884530153606414,-0.19475703424170504,0.17422388008137174,,nan,-0.1676287635194057,0.3667430348933781,0.6498219317044192,,0.4677798809263321,-0.5313033390718624,0.5646437800602021,0.37635978280175203,0.46000763010578183,-0.22220484693668785,0.6808001512579595,0.40695567755786716,0.35293561405792795,0.10704956578352579,0.19019812796267507,-0.02621987543885798,-0.17598860358611118,nan,-0.010302273924199924,0.16749858055336536,,-0.044459408526772624,0.0024136930490428216,nan
sub-139,0.3061187226458527,0.12204661180173478,-0.12256307941328748,-0.18433170879230082,0.27061769346852355,0.11084818688310964,-0.07798363065658798,-0.08048718913455422,-0.02779113841922036,0.25570621277082173,-0.06497520544650043,0.3559354253213438,0.07393277257145994,0.10202385680509282,0.032548446731944694,0.2815719124862053,-0.3825789104865759,-0.36393641195099885,0.10603887333698048,-0.460329129775655,-0.607175529282507,-0.0379377152481959,0.08536809334659519,0.33062651762821127,-0.301808616057638,-0.08187630927677228,-0.08715481209027429,-0.16376976283210404,0.2875378082588731,0.042182473963608955,0.01447702033036589,-0.06309163966618415,-0.4795078190450992,0.011245782910579332,0.27736744220564274,0.18243142712952568,0.1917677657943672,0.05727760735002353,-0.08020987090406609,0.10814450841481964,-0.5755867678988558,0.24854052503334217,nan,0.031629949506692664,-0.12380541071235755,0.40709451703134114,0.4076308848347021,-0.47528566710387277,0.09104779492401396,0.022423990428113112,0.023815082743473697,-0.22643146969404407,0.29877232756955824,-0.12193438126844554,-0.13529371611260133,0.10021466459125286,-0.23735555603017497,-0.25654091140215596,0.34036179332260436,0.19158749586291,0.03177158924721017,-0.3862401485440811,-0.34007553941518065,0.10941970305107435,-0.19590734058351705,-0.28748083949066894,0.048884205766702826,-0.37387590736708975,-0.37138706463382487,-0.07098704510185422,0.04638056994258184,-0.055886153757576267,-0.30539471677334384,-0.3217407166259148,0.006527980850575809,-0.11999821069312042,0.10960721489891477,0.05760164510012626,-0.5077695592010483,-0.1546929021896573,0.24113724906168765,0.37150548593869565,nan,nan,nan,-0.05305913771500653,-0.1700047397142262,,-0.18386787040110414,nan,-0.4869886867543983,-0.416523201336101,-0.4366736036826351,nan,0.1161480186229983,0.20539995379645887,-0.09895330484715693,-0.24570694623232825,-0.29307940630002705,-0.09808237941430425,-0.11883957588751211,nan,nan,-0.01329373472373812,,0.07260468769461904,-0.07587263532482141,nan
sub-142,-0.09144967568484802,nan,-0.2369560290973712,-0.3835977634117814,0.018585153849212298,-0.009597153535696505,-0.47295224366658734,-0.3490977369162951,-0.4420706392824266,-0.003248789219285512,-0.3870318214534269,0.021842675960470383,-0.5719653684372413,0.4156040785802765,-0.2290879382013504,-0.13319023207760844,-0.45660638963791145,-0.18671068816645112,0.32161609020899173,-0.33477042431482706,-0.27316783051517257,-0.11623674426357927,-0.3003337642777605,-0.16358535614403083,-0.1438914264699117,-0.1684488981323401,-0.36800398317993954,-0.23205208045471287,0.38147982244396256,0.13780479262011364,-0.48467139453382235,-0.2477607884517471,-0.1421638847722616,0.014456016270650148,0.030811973796619603,-0.2763917499323057,-0.15496688079368165,-0.2272852284833016,-0.380030956173161,-0.3190056332609361,-0.2651978534747001,-0.5361154557624945,-0.007996598376135335,-0.3924198331629019,-0.3322433292770234,-0.036511541757633846,0.16615732028541272,-0.7018903730909237,-0.3409116699738811,-0.6812606644575778,-0.050199796866956005,-0.6932321176597538,0.05222457715032295,-0.5039202458153798,0.581344230632004,-0.008493378670641736,0.1277583260097206,-0.6589183674484175,0.08371549408261209,-0.1829312663136778,0.0972807265002154,0.18668190555679381,-0.48416803576762646,-0.5002838228165132,-0.4780345662580463,0.07516917342730399,0.3112778035735579,0.1068015852089732,-0.32673145030107686,-0.7699509771694983,-0.006535702001932647,-0.12193442070122427,-0.16735224089509093,-0.41262549999428827,0.03825217002992738,-0.12601762198537153,-0.03811252741969147,-0.28755362333511403,-0.29755464255918485,-0.03990715496430043,-0.06428884605868763,-0.3594088853192515,,nan,nan,-0.20205011759339114,-0.8153160254308036,nan,-0.2844913297427908,nan,-0.6160274634668078,-0.8272542652058262,-0.17257253485421623,nan,0.24037750411087042,-0.11791956933115405,-0.11896426821015715,-0.36417085874378113,-0.3237306071244442,-0.1855222123013005,-0.3764180566075463,,nan,-0.5715999890496535,,-0.009269745581245634,-0.7716182664269539,nan
sub-143,0.03261610831304436,0.05216321953857393,0.02782453288811629,-0.38774920225621706,0.6202092805616728,0.08948857358119329,0.05336078735403993,0.1440935701326957,-0.21307766710734144,0.1615537109573329,0.05499415941190707,-0.2107146394574778,-0.4078998077019709,0.1080518874468083,-0.07760505764853765,-0.029965117215175755,-0.19294707332631056,0.02621765496123028,0.09769015181999534,-0.1356379453069869,-0.14534171359184356,-0.7683891501571514,0.15486077829412165,-0.5377014936852517,0.1252455391800372,0.010477733280447252,-0.03806871147889225,-0.2113707739188009,-0.37936214718741373,-0.137723825176449,-0.18403147698185324,-0.13983149293857539,-0.08417668152620973,0.4338145983654732,-0.1506365347797628,-0.15313603069546422,0.117416676210094,-0.020436810053064976,-0.2638320023064322,0.09169781778795685,-0.1905552775972477,0.03979321127908424,nan,0.09304906538344755,-0.13815511473822095,0.6202344247944773,0.2338356938269377,0.14076170350464814,-0.14257432492169636,-0.27361747384319424,-0.0333449985181504,-0.4026049500469323,0.03015540736564389,0.40367135792980763,-0.22283159395133145,-0.295983184457241,0.040622062566481154,-0.2868401528370236,-0.24178968898584724,-0.030281335364321284,-0.3661959888745431,0.7724982461479666,-0.5698299712388608,0.022818149255637604,-0.4346903892728891,-0.11670022812320983,-0.1573621972023596,-0.3084498294429866,-0.35599607348095197,-0.34912795224411813,-0.10604370632849508,-0.7604693252860587,-0.000892246275113584,0.030952676900731106,0.1212737429925426,0.14341784401030422,0.20620086382358843,0.09184002673889889,-0.30195877656081244,-0.3751166852950455,0.21099333276928184,-0.1592534296556185,,nan,0.24230518712824883,0.0717339704177693,-0.1673527119787267,,-0.4594228113147869,-0.08447177032042552,0.19473671517683735,-0.14157854738185532,0.02528468895246318,nan,-0.1453977322877017,0.13157169226690163,-0.06032210598934204,-0.006967370025259196,-0.10984460987325456,0.0035972043239849887,-0.01886018607865049,,nan,0.19381434410876772,,nan,-0.40457959572540353,nan
sub-144,0.1002628172517416,nan,-0.20960572892941248,0.06590767624898503,-0.09504633945286044,-0.09126438891145802,0.03394320889755991,0.37663172884973817,-0.17007077005080212,0.08334639852301652,0.0697349133750961,0.11562206167064919,0.045285948140067506,0.11641927268170475,0.10236992831561104,0.09772935008757729,0.5136688025368724,0.22036572777473692,0.13299663246415477,0.0074042301969628,0.4757440025771852,0.29227823386773694,-0.26949688696115254,0.31374384414863005,-0.07351186081607594,0.1336613183764926,-0.010090412141042818,-0.026544368400699472,0.18579358579498026,0.42462578577471766,0.10315403799494938,0.4530233836373564,0.30986950825624016,0.19007583026926106,0.03976030592897347,0.050577508586453296,0.03357784080181643,0.017507109371677876,0.10956075492503431,0.17684005528556218,0.23086933982608304,0.2017979768731083,-0.15988527075800182,-0.34391081659168443,0.124832599932521,-0.22746396932813073,0.056119225318956634,-0.05224205590543336,0.06969066887180865,-0.2432402392776236,0.21804807208258345,-0.37748290006213664,0.17871309168229077,0.4782187260731202,-0.10187859922199236,0.07866031423336432,-0.022099051543185817,0.17095761754009617,0.03516172186831998,0.0313721731770826,-0.029696012632441354,-0.42901204021686035,0.22819414981280808,-0.35482679298957387,0.06668928633147475,-0.12848820502464156,0.02143459285566296,0.10513050732211442,-0.002129301966060303,0.023650010369400953,0.10505777639584571,-0.1340803087466031,0.1929209730471877,0.21091102008364138,-0.15960447138776118,0.14259229554038721,0.30425894520392516,0.15638142368884184,0.29294484269169074,0.3003603331611021,-0.31191091079530875,0.15631328933158845,nan,nan,nan,0.31494351143008836,-0.07970601887250284,nan,0.37076265947960346,-0.1055696044910377,0.5014648007711404,0.3794048245697117,0.07495088148655471,nan,0.05427098715908389,0.1275628602052475,0.0009403095344631129,0.3519324695895538,-0.0503655050042251,-0.30204583553192577,-0.001294436389398918,nan,nan,-0.09193356422978842,,-0.5252896132607575,-0.15040087921672785,nan
